file name,expected,extracted,status
3e9722ae_2bb1_11eb_a46b_172adadd57f0_pdf.pdf,Allstate Insurance Company,Allstate Insurance Company,True
29_7_PDF_decpage120_State_Farm_Mutual_Automobile_Insurance_Company_Dec.pdf,State Farm Mutual Automobile Insurance Company,State Farm Mutual Automobile Insurance Company,True
adac0498_2ade_11eb_9847_dd33a91edc74_pdf.pdf,Allstate Vehicle and Property Insurance Company,Allstate Vehicle and Property Insurance Company,True
e60d9efb_2bb1_11eb_9847_dfb96dead1d2_pdf.pdf,Allstate Indemnity Company Mortgagee Dec,Allstate Indemnity Company,False
County_mutual73_7_PDF_amend_53.pdf,Country Mutual,Country Mutual,True
RENEWAL_STATE_FARM_FIRE_AND_CASUALTY_COMPANY_103_7_PDF_renew_221.pdf,State Farm Fire and Casualty Company.,State Farm Fire and Casualty Company.,True
6d6cbed3_2baa_11eb_a46b_971c2ff47489_pdf.pdf,Fremont Insurance,Fremont Insurance,True
7_7_PDF_bin_1statefarm_mutual_2.pdf,STATE FARM,STATE FARM,True
ad573572_2a3c_11eb_b3c4_b3999a7e246b_pdf.pdf,American Modern Property and Casualty Insurance Company,American Modern Property and Casualty Insurance Company,True
63_7_PDF_cancel63_AMICA_MUTUAL_INS_CO_CANCEL.pdf,AMICA MUTUAL INSURANCE COMPANY,AMICA MUTUAL INSURANCE COMPANY,True
RENEWAL_STATE_FARM_FIRE_AND_CASUALTY_COMPANY_8_7_PDF_renew_219.pdf,State Farm Fire and Casualty Company,State Farm Fire and Casualty Company,True
Amica_Dec_116_7_PDF_dec_91.pdf,Amica,Amica,True
3b33b194_2a47_11eb_b3c4_7f4fc0b3049d_pdf.pdf,State Farm Fire and Casualty Company,State Farm Fire and Casualty Company,True
19_STATE_FARM_FIRE_CASUALTY_COMPANY_RENEWAL_DOCUMENT_21_10_2020_PDF_renew_1.pdf,State Farm Florida insurance Company,State Farm Florida insurance Company,True
62_7_PDF_cancel_52_Amica_Mutual_Insurance_Company_Notice.pdf,AMICA MUTUAL INSURANCE COMPANY,AMICA MUTUAL INSURANCE COMPANY,True
6_7_PDF_binder4_state_farm_ins_com.pdf,State Farm Automobile Insurance,State Farm Automobile Insurance,True
101_amend_35_DB_insurance_endo.pdf,DB Insurance,DB Insurance,True
Farmers_Ins_Co_67_PDF_ID_1.pdf,Farmers Insurance Exchange,Farmers Insurance Exchange,True
62_7_PDF_cancel_52_Amica_Mutual_Insuracne_Company_Notice.pdf,AMICA MUTUAL INSURANCE COMPANY,AMICA MUTUAL INSURANCE COMPANY,True
6d1e7179_29d0_11eb_b3c4_85f468a434bd_pdf.pdf,State Farm Fire and Casualty Company,State Farm Fire and Casualty Company,True
6_7_PDF_binder4_state_farm_ins_com_5.pdf,State Farm Mutual Automobile Insurance Company,State Farm Mutual Automobile Insurance Company,True
101_amend186_American_national_amend.pdf,AMERICAN NATIONAL PROPERTY AND CASUALTY CO,AMERICAN NATIONAL PROPERTY AND CASUALTY CO,True
Amica_Dec_114_7_PDF_dec_91.pdf,Amica,Amica,True
61_7_PDF_cancel_52_Amica_Mutual_Insurance_Company_Notice.pdf,AMICA MUTUAL INSURANCE COMPANY,AMICA MUTUAL INSURANCE COMPANY,True
Erie_Insurance_Exchange.pdf,Erie Insurance Exchange,Erie Insurance Exchange,True
MORTGAGEE_DEC_ALLSTATE_INSURANCE_COMPANY_12_7_PDF_decpage131.pdf,Allstate Insurance Company,Allstate Insurance Company,True
6_7_PDF_binder4_state_farm_ins_com_3.pdf,State Farm Mutual Automobile,State Farm Mutual Automobile,True
acde5157_2a3b_11eb_a46b_717ba6bd48f9_pdf.pdf,THE TRAVELERS INSURANCE COMPANIES,THE TRAVELERS INSURANCE COMPANIES,True
29_7_PDF_decpage119_Erie_Insurance_Exchange_Dec.pdf,Erie Insurance Exchange,Erie Insurance Exchange,True
61_7_PDF_cancel_52_Amica_Mutual_Insurance_Company_Notice_2.pdf,AMICA MUTUAL INSURANCE COMPANY,AMICA MUTUAL INSURANCE COMPANY,True
e5770fac_2b5d_11eb_9847_6b2a64503d06_pdf.pdf,Allstate Vehicle and Property Insurance Company,Allstate Vehicle and Property Insurance Company,True
18_7_PDF_renew_170.pdf,State Farm Fire and Casualty Company.,State Farm Fire and Casualty Company.,True
6_7_PDF_binder4_state_farm_ins_com_2.pdf,State Farm Mutual Automobile,State Farm Mutual Automobile,True
83_THE_TRAVELLERS_HOME_AND_MARINE_INSURANCE_COMPANY_DECLARATION_DOCUMENT_03_10_2020_AMEND_14_PDF_amend_14.pdf,The Travelers Home and Marine Insurance Company,The Travelers Home and Marine Insurance Company,True
Nationwide_Property_And_Casualty_Insurance_Company72_7_PDF_amend_125.pdf,Nationwide Property & Casualty Insurance Company,Nationwide Property & Casualty Insurance Company,True
59018699_2bb1_11eb_a46b_3de2c0f8044b_pdf.pdf,Allstate Property and Casualty Insurance Company Mortgagee Dec,Allstate Property and Casualty Insurance Company,False
American_Family_Insurance_Cancellation_Notice_1_7_PDF_rein_7_1.pdf,AMERICAN FAMILY INSURANCE COMPANY,AMERICAN FAMILY INSURANCE COMPANY,True
COUNTRY_MUTUAL_ENDORSEMENT_123_7_PDF_amend194.pdf,Country Mutual,Country Mutual,True
39d511c8_2bb2_11eb_a46b_6f5b6a645e8b_pdf.pdf,Allstate Vehicle and Property Insurance Company,Allstate Vehicle and Property Insurance Company,True
